#{"t_start": 1780245470.2937655, "env_id": "Ant-v4"}
r,l,t
-1.657147,11,212.395215
-3.854863,51,212.480857
-830.722892,1000,216.069511
-4.716374,19,216.102743
-16.634181,33,216.155659
-22.307476,65,216.27471
-15.787383,16,216.300099
-780.708314,1000,218.136597
-7.193462,12,218.156077
-16.785512,42,218.224077
-98.421899,81,218.360804
-18.559546,18,218.403444
-44.49502,50,220.059416
-23.555565,30,220.108422
4.084206,81,220.242381
-108.793502,104,220.409154
-0.425922,15,220.433799
-24.036622,22,220.468328
-16.755277,12,220.486843
-33.953892,40,220.550473
-2.512189,19,220.581737
-10.799246,16,220.606672
-12.372221,19,220.635962
-18.937281,14,220.657739
-1.126455,18,220.68751
-28.05928,15,220.713932
-15.29797,17,220.743115
-824.418609,1000,222.480085
-3.527482,36,222.537478
-40.226675,47,222.610883
-36.70882,73,222.734617
-5.416985,11,222.764533
-35.13669,28,222.812877
-66.341307,77,222.946903
-10.928792,32,223.005572
-5.102079,20,223.037621
-23.761496,37,223.097356
-19.513976,15,223.121318
12.521335,86,223.277329
-3.837333,11,223.306026
-41.827908,54,223.411116
-2.42028,13,223.433432
-19.353214,15,223.458076
-8.59111,23,223.49599
-817.151016,1000,226.882043
16.976576,20,226.916898
-14.617359,14,226.939298
-47.245976,41,227.009681
-9.030732,19,227.04685
-17.537029,16,227.074536
-24.896136,55,227.164014
-38.759593,24,227.202174
-51.72347,53,227.294271
-26.871082,67,227.411935
-20.892614,13,227.432998
-6.809554,55,227.531832
-14.241412,15,227.555852
-9.676273,33,227.640532
-76.040445,88,227.782235
-876.163636,1000,231.48117
-8.361969,18,231.513739
35.20659,29,231.565024
-13.380153,15,231.591193
-17.184722,36,231.650804
-7.494618,32,231.703174
-13.681884,21,231.737898
-86.848053,83,231.869797
-11.879034,27,231.911681
-19.769424,34,231.966259
-24.053193,33,232.023067
-14.519766,13,232.044526
-12.360816,19,232.079028
-31.915397,42,232.154671
-37.509714,24,232.199877
-30.504381,45,232.295585
-20.404601,14,232.321022
-9.204702,11,232.339127
-9.121053,23,232.377424
-40.202952,32,232.431115
8.939897,32,232.489902
-54.427172,69,232.611884
-21.217477,23,232.648661
-9.810342,16,232.676333
-38.515095,51,232.7597
-12.42094,21,232.795948
-23.275333,33,232.878415
30.23178,44,232.954764
-6.071832,18,232.98395
-84.084499,82,233.123649
-7.07159,15,233.149433
-44.459357,105,233.333405
-39.218131,28,233.378064
-3.454488,22,233.412699
-7.229355,14,233.438248
-6.866895,16,233.466626
-9.287189,53,233.565557
-50.558229,32,233.620035
-39.349502,66,233.731858
-8.994047,22,233.768938
-109.307377,107,233.947915
-83.40847,54,234.040226
-6.529241,21,234.074174
-22.819749,18,234.103205
-3.181903,25,234.143027
-23.780692,40,234.213954
7.530398,20,235.927129
-38.859115,60,236.024
0.907516,27,236.06767
-7.534004,15,236.09663
-18.689463,31,236.159564
-128.236617,180,236.4616
-80.873682,58,236.557314
-5.582617,13,236.578827
-7.197327,35,236.636255
-6.25848,18,236.665226
-9.008229,14,236.688064
-35.288639,81,236.821002
-102.673331,117,237.011548
4.848134,30,237.079424
-13.756085,16,237.107305
-20.728805,43,237.177358
-25.700125,31,237.226739
-53.920907,134,237.444047
-9.266827,14,237.467443
-27.073623,38,237.535667
-36.347069,18,237.566216
-7.872504,13,237.586763
-129.050266,144,237.858244
-5.416276,12,237.877295
-8.945847,17,237.90748
-20.335305,25,237.947345
-8.867659,17,237.975537
-55.392256,33,238.030918
-19.004911,26,238.073036
-8.903279,34,238.130881
-4.880583,21,238.167046
-71.446235,79,238.296467
-1.797944,16,238.323422
-57.96214,58,238.423568
-111.087628,85,238.568154
-42.843236,32,238.630092
-6.827395,11,238.647868
-13.64149,38,238.711259
-804.328609,1000,241.795072
2.043517,58,241.893066
-22.943311,21,241.925512
-7.077897,33,241.9772
-9.381507,60,242.072302
-30.958036,37,242.129926
-53.295612,67,242.239926
-47.546193,44,242.313514
-35.996741,81,242.458533
-23.952533,21,242.494701
-18.127522,12,242.513704
-755.779304,1000,244.212978
-12.813499,28,245.927878
-9.31068,21,245.962512
-16.590959,20,245.996087
-20.244567,12,246.017315
-5.15668,15,246.051759
-25.426839,23,246.098411
-44.718998,45,246.171207
-16.113971,13,246.19334
-212.352686,319,246.717951
-2.177989,12,246.73749
-6.981049,14,246.760037
-25.199964,30,246.808447
-22.038901,28,246.85409
-2.387032,25,246.897281
-12.042975,32,246.948378
-747.166687,1000,248.66565
-6.923368,12,248.685191
-4.28292,15,248.709693
-53.128958,43,248.782263
-14.310584,54,248.876666
-9.346347,67,248.990338
-8.180384,29,249.039618
